date,latitude,longitude,rainfall_mm
2019-07-24,26.5,84.0,9.065250396728516
2019-07-24,26.5,84.25,15.466720581054688
2019-07-24,26.5,84.5,39.06827926635742
2019-07-24,26.5,84.75,40.4809455871582
2019-07-24,26.5,85.0,71.93382263183594
2019-07-24,26.5,85.25,158.19760131835938
2019-07-24,26.5,85.5,41.57728958129883
2019-07-24,26.5,85.75,44.79985427856445
2019-07-24,26.5,86.0,43.20173645019531
2019-07-24,26.5,86.25,29.01112174987793
2019-07-24,26.5,86.5,5.972238063812256
2019-07-24,26.5,86.75,0.11259990185499191
2019-07-24,26.5,87.0,1.4916890859603882
2019-07-24,26.5,87.25,10.514060020446777
2019-07-24,26.5,87.5,28.08016014099121
2019-07-24,26.5,87.75,91.79339599609375
2019-07-24,26.5,88.0,138.7858123779297
2019-07-24,26.5,88.25,93.85977935791016
2019-07-24,26.5,88.5,46.720787048339844
2019-07-24,26.75,83.5,15.0
2019-07-24,26.75,83.75,15.963176727294922
2019-07-24,26.75,84.0,31.396617889404297
2019-07-24,26.75,84.25,59.459449768066406
2019-07-24,26.75,84.5,45.8685188293457
2019-07-24,26.75,84.75,43.75297164916992
2019-07-24,26.75,85.0,10.439705848693848
2019-07-24,26.75,85.25,33.75941467285156
2019-07-24,26.75,85.5,37.16645050048828
2019-07-24,26.75,85.75,42.2177619934082
2019-07-24,26.75,86.0,41.54915237426758
2019-07-24,26.75,86.25,18.710460662841797
2019-07-24,26.75,86.5,8.53303050994873
2019-07-24,26.75,86.75,1.492205262184143
2019-07-24,26.75,87.0,1.492205262184143
2019-07-24,26.75,87.25,191.68576049804688
2019-07-24,26.75,87.5,191.68576049804688
2019-07-24,26.75,87.75,191.68576049804688
2019-07-24,26.75,88.0,191.68576049804688
2019-07-24,26.75,88.25,232.27899169921875
2019-07-24,26.75,88.5,249.4222412109375
2019-07-24,27.0,83.5,32.05691146850586
2019-07-24,27.0,83.75,26.299036026000977
2019-07-24,27.0,84.0,46.68517303466797
2019-07-24,27.0,84.25,82.44567108154297
2019-07-24,27.0,84.5,61.41673278808594
2019-07-24,27.0,84.75,47.939823150634766
2019-07-24,27.0,85.0,32.23396301269531
2019-07-24,27.0,85.25,30.15749740600586
2019-07-24,27.0,85.5,36.301029205322266
2019-07-24,27.0,85.75,41.764869689941406
2019-07-24,27.0,86.0,41.764869689941406
2019-07-24,27.0,86.25,41.764869689941406
2019-07-24,27.0,86.5,41.764869689941406
